,ID,Salary,JobCity,Gender,DOB,10percentage,10board,12graduation,12percentage,12board,CollegeID,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityID,CollegeCityTier,CollegeState,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience
0,0,200000,Bangalore,m,1990-01-15,55.5,state board,2007.0,52.5,state board,44,2,MCA,computer application,72.8,44.0,0,Uttar Pradesh,2013,415,495,445,0.864685413370085,525,-1,-1,-1,-1,-1,-1,,-0.6201,-0.1437,0.9066,-1.6273
1,1,190000,Chennai,m,1990-11-02,83.0,state board,,86.0,state board,11473,2,B.Tech/B.E.,electronics and communication engineering,71.0,11473.0,1,Tamil Nadu,2013,555,555,280,0.376059586651545,425,300,-1,-1,-1,313,-1,-0.159,0.8784,0.7785,0.1459,1.247
2,2,335000,Chennai & Mumbai,m,1991-07-31,81.2,cbse,2008.0,75.4,cbse,2795,1,B.Tech/B.E.,computer engineering,74.1,2795.0,0,Madhya Pradesh,2013,495,595,625,0.911395278391328,685,-1,500,-1,-1,-1,-1,-1.0208,-1.1196,-0.6048,0.5262,0.2889
3,3,325000,Noida,m,1990-07-16,85.0,cbse,2008.0,68.6,cbse,5232,2,B.Tech/B.E.,,64.5,5232.0,0,Haryana,2012,585,465,425,0.450876584483451,395,-1,-1,-1,-1,-1,-1,-0.9969,0.0328,-0.344,0.7086,-1.2354
4,4,360000,Chennai,m,1991-07-14,89.9,state board,,84.5,state board,8524,2,B.Tech/B.E.,electronics and communication engineering,68.0,8524.0,0,Karnataka,2013,675,485,485,-1.0,455,-1,-1,-1,-1,-1,-1,1.2772,0.8784,0.4711,-0.7415,0.4805
5,5,100000,kolhapur,f,1991-05-01,76.93,0,,79.5,0,7172,2,B.Tech/B.E.,computer engineering,63.25,7172.0,0,Maharashtra,2012,394,475,515,0.765673581234011,485,-1,-1,-1,-1,-1,-1,0.2009,0.9688,-1.7954,-0.4078,0.5419
6,6,325000,hyderabad,f,1993-08-22,87.0,state board,2010.0,96.0,state board,1242,2,B.Tech/B.E.,electronics and communication engineering,82.9,1242.0,0,Telangana,2014,510,570,680,0.943272157866555,405,452,-1,-1,-1,-1,-1,0.5591,0.8784,0.9322,-0.8682,1.0554
7,7,1200000,Bangalore,m,1988-12-06,92.8,cbse,2005.0,87.0,cbse,443,1,M.Tech./M.E.,electronics and electrical engineering,95.3,443.0,0,Uttar Pradesh,2012,695,675,725,0.824666400671332,-1,400,-1,-1,-1,-1,-1,1.4374,1.7488,0.9623,-2.1704,0.8973
8,8,705000,New Delhi,m,1991-03-27,90.0,cbse,2009.0,92.0,cbse,7542,2,B.Tech/B.E.,electronics and communication engineering,76.4,7542.0,1,Delhi,2013,695,450,665,0.538386892985096,485,333,-1,-1,-1,-1,-1,,0.0459,-0.4511,,0.2889
9,9,335000,Navi Mumbai,f,1990-09-30,72.0,cbse,2009.0,73.0,cbse,13210,2,B.Tech/B.E.,computer engineering,71.0,13210.0,0,Uttar Pradesh,2013,485,465,400,0.765673581234011,485,-1,-1,-1,-1,-1,-1,-0.7335,-0.2871,-0.1437,1.9207,-0.6692
10,10,420000,Mumbai,m,1993-05-07,89.0,state board,2010.0,82.2,state board,4042,2,B.Tech/B.E.,computer science & engineering,72.4,4042.0,0,Tamil Nadu,2014,450,510,575,0.622642915849938,505,-1,407,-1,-1,-1,-1,0.8463,0.8784,1.7007,-1.1218,0.8637
11,11,700000,Bangalore,m,1988-09-22,91.0,tamilnadu state board,2006.0,95.0,tamilnadu state board,8799,2,B.Tech/B.E.,computer engineering,74.5,8799.0,0,Tamil Nadu,2010,515,595,375,-1.0,-1,-1,-1,-1,-1,-1,-1,0.2009,1.2808,-0.9245,-1.7004,-0.7615
12,12,480000,Bangalore,f,1990-03-21,89.92,karnataka state board,2008.0,77.0,karnataka state board,1384,2,B.Tech/B.E.,industrial & production engineering,76.5,1384.0,0,Karnataka,2012,525,415,385,-1.0,-1,-1,-1,-1,-1,-1,-1,0.6646,1.5928,0.8171,0.2973,0.8973
13,13,240000,sampla,m,1992-07-17,68.4,cbse,2010.0,74.6,cbse,7255,2,B.Tech/B.E.,electronics and communication engineering,79.5,7255.0,0,Haryana,2014,500,525,595,0.207392169717661,-1,260,-1,-1,-1,420,-1,0.2718,1.3779,0.3174,-0.2344,1.0554
